,Kingdom,Phylum,Class,Order,Family,Genus,Species,AQH
ASV498,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Leptospora,NA,
ASV499,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,NA,NA,
ASV501,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,NA,
ASV503,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA,
ASV504,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Neobulgaria,s__pura,
ASV506,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__leptospora,
ASV508,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,NA,
ASV51,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Spirosphaera,s__cupreorufescens,
ASV512,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,NA,
ASV514,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA,
ASV515,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Ophiosphaerella,NA,
ASV516,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,s__equina,
ASV518,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__sake,
ASV519,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Phialea,NA,
ASV52,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Venturiaceae,g__Venturia,NA,
ASV520,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Periconiaceae,g__Periconia,s__byssoides,
ASV521,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Chalara,NA,
ASV522,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,NA,
ASV523,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,s__vermispora,
ASV524,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriaceae,g__Camptophora,s__schimae,
ASV525,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,NA,
ASV526,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meripilaceae,g__Rigidoporus,s__sanguinolentus,
ASV527,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Scutellinia,s__crinita,
ASV529,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideaceae,g__Endoconidioma,s__populi,
ASV53,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__tassiana,
ASV531,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricomycetes_ord_Incertae_sedis,f__Agaricomycetes_fam_Incertae_sedis,g__Akenomyces,s__costatus,
ASV532,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paraphaeosphaeria,s__sporulosa,
ASV533,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__chlamydosporigena,
ASV534,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Neobulgaria,NA,
ASV535,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Scutellinia,s__scutellata,
ASV536,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,NA,
ASV538,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA,
ASV539,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA,
ASV540,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Tremellaceae,g__Tremella,s__encephala,
ASV543,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,g__Alpinaria,NA,
ASV544,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleomassariaceae,NA,NA,
ASV547,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Betamyces,s__americae-meridionalis,
ASV549,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,NA,NA,NA,
ASV552,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Amphisphaeriaceae,g__Polyscytalum,s__algarvense,
ASV555,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Trematosphaeriaceae,g__Trematosphaeria,s__hydrela,
ASV556,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__subcucurbitae,
ASV559,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA,
ASV560,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__leptospora,
ASV562,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae,g__Exobasidium,NA,
ASV563,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Ganodermataceae,g__Ganoderma,s__adspersum,
ASV564,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Microdochium,NA,
ASV565,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Calycina,s__claroflava,
ASV566,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__fusiforme,
ASV567,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,NA,
ASV569,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS07,NA,NA,NA,
ASV57,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Hymenoscyphus,NA,
ASV571,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,NA,
ASV572,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Glomerellaceae,g__Colletotrichum,s__kinghornii,
ASV573,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__boleticola,
ASV574,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Crocicreas,s__cyathoideum,
ASV575,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Heterocephalacria,NA,
ASV576,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Clitopilus,s__hobsonii,
ASV577,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__subcucurbitae,
ASV578,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Aureobasidiaceae,g__Aureobasidium,s__subglaciale,
ASV579,k__Fungi,p__Monoblepharomycota,c__Monoblepharidomycetes,o__Monoblepharidales,f__Gonapodyaceae,g__Gonapodya,s__prolifera,
ASV58,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideaceae,g__Endoconidioma,s__populi,
ASV580,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,NA,
ASV585,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Idriella,s__lunata,
ASV586,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA,
ASV588,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,NA,NA,
ASV590,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,NA,
ASV591,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Massarinaceae,g__Byssothecium,NA,
ASV592,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Pyrenophora,s__tritici-repentis,
ASV594,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,NA,
ASV595,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,NA,
ASV597,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__flanaganii,
ASV6,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleomassariaceae,NA,NA,
ASV60,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__intricans,
ASV603,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Neobulgaria,s__pura,
ASV604,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA,
ASV608,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,g__Pezicula,s__sporulosa,
ASV609,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Neobulgaria,NA,
ASV61,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__delicatulum,
ASV610,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA,
ASV611,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Halosphaeriaceae,g__Cirrenalia,s__iberica,
ASV613,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,NA,NA,
ASV614,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia,s__adeliensis,
ASV615,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,NA,NA,NA,
ASV617,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,NA,NA,
ASV618,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Clitopilus,s__hobsonii,
ASV62,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Idriella,NA,
ASV620,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Halosphaeriaceae,g__Remispora,s__stellata,
ASV621,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Massarinaceae,NA,NA,
ASV622,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,NA,NA,NA,
ASV625,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,NA,
ASV626,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,g__Sigarispora,s__arundinis,
ASV627,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Idriella,NA,
ASV629,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,NA,NA,
ASV63,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniastraceae,g__Melampsoridium,s__hiratsukanum,
ASV632,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA,
ASV633,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__magnum,
ASV634,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Neobulgaria,s__pura,
ASV635,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__cucumerina,
ASV636,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA,
ASV638,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Hymenoscyphus,NA,
ASV64,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Sclerotiniaceae,g__Botrytis,s__caroliniana,
ASV640,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Leptosphaeria,s__sclerotioides,
ASV643,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Betamyces,NA,
ASV644,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Bulleribasidium,s__variabile,
ASV645,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,s__graminis,
ASV646,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA,
ASV647,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariales_fam_Incertae_sedis,g__Robillarda,s__sessilis,
ASV648,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__pseudodichotomus,
ASV649,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Rutstroemiaceae,g__Lanzia,s__echinophila,
ASV65,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariales_fam_Incertae_sedis,g__Robillarda,s__sessilis,
ASV650,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS08,NA,NA,NA,
ASV652,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA,
ASV653,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,NA,NA,
ASV662,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA,
ASV663,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,f__Phaeomoniellaceae,NA,NA,
ASV667,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Torulaceae,g__Torula,NA,
ASV668,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Bartaliniaceae,g__Truncatella,NA,
ASV67,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,NA,NA,
ASV671,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Kuehneromyces,s__mutabilis,
ASV672,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Chytridiales,f__Chytriomycetaceae,g__Chytriomyces,s__hyalinus,
ASV673,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetaceae,g__Saccharomyces,NA,
ASV674,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Scutellinia,NA,
ASV675,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,g__Sigarispora,s__arundinis,
ASV676,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinopsis,s__atramentaria,
ASV677,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA,
ASV679,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,s__terricola,
ASV68,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,NA,NA,
ASV681,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,NA,NA,
ASV682,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Kotlabaea,NA,
ASV684,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA,
ASV685,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Vibrisseaceae,g__Vibrissea,s__flavovirens,
ASV686,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Sclerotiniaceae,g__Ciboria,s__batschiana,
ASV689,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleomassariaceae,NA,NA,
ASV692,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariales_fam_Incertae_sedis,g__Fusidium,NA,
ASV693,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,NA,NA,
ASV696,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,NA,NA,
ASV697,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,NA,NA,
ASV698,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Plenodomus,s__biglobosus,
ASV70,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Ramularia,s__nyssicola,
ASV701,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA,
ASV702,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__flanaganii,
ASV706,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Rhizopogonaceae,g__Rhizopogon,s__verii,
ASV71,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Helicodendron,s__microsporum,
ASV710,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina,s__epiphylla,
ASV711,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,NA,NA,
ASV712,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,NA,NA,
ASV714,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Pyrenophora,s__tritici-repentis,
ASV715,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,NA,NA,NA,
ASV716,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,NA,NA,
ASV717,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,
ASV718,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Scolecobasidium,s__excentricum,
ASV719,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetaceae,g__Torulaspora,s__delbrueckii,
ASV721,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,
ASV722,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA,
ASV723,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae,g__Cystofilobasidium,s__capitatum,
ASV724,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothioraceae,g__Hormonema,s__macrosporum,
ASV725,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Plenodomus,s__biglobosus,
ASV726,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Pseudaleuria,NA,
ASV729,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__cucumerina,
ASV737,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina,s__epiphylla,
ASV739,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Microdochium,NA,
ASV74,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__leptospora,
ASV740,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Spirosphaera,s__cupreorufescens,
ASV742,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Neocucurbitaria,NA,
ASV743,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,NA,
ASV744,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,NA,NA,
ASV747,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Microstromatales,f__Microstromataceae,g__Microstroma,NA,
ASV749,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA,
ASV750,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,NA,NA,
ASV751,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dictyosporiaceae,g__Digitodesmium,s__intermedium,
ASV752,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dictyosporiaceae,g__Digitodesmium,s__intermedium,
ASV753,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Apiotrichum,s__dulcitum,
ASV754,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,NA,NA,
ASV755,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Betamyces,s__americae-meridionalis,
ASV759,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Neoascochyta,s__desmazieri,
ASV76,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,NA,NA,
ASV760,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Thelephora,s__corticioides,
ASV761,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Amorosiaceae,g__Angustimassarina,s__acerina,
ASV762,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lindgomycetaceae,g__Clohesyomyces,s__aquaticus,
ASV764,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Ceratocystidaceae,g__Thielaviopsis,s__basicola,
ASV765,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Vibrisseaceae,g__Vibrissea,s__flavovirens,
ASV766,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Myrmecridiales,f__Myrmecridiaceae,g__Myrmecridium,s__montsegurinum,
ASV767,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,NA,NA,NA,
ASV769,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Vibrisseaceae,g__Vibrissea,s__flavovirens,
ASV77,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Aquadiscula,s__appendiculata,
ASV771,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,NA,NA,
ASV772,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__cucumerina,
ASV773,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__humilis,
ASV774,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Vibrisseaceae,g__Vibrissea,s__flavovirens,
ASV775,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,NA,NA,NA,
ASV777,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,NA,NA,
ASV778,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Betamyces,s__americae-meridionalis,
ASV779,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,NA,NA,NA,
ASV78,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__tricincta,
ASV780,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Spirosphaera,s__cupreorufescens,
ASV781,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Sporormia,NA,
ASV783,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA,
ASV786,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,NA,NA,
ASV788,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaeta,NA,
ASV793,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Scutellinia,s__patagonica,
ASV794,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__leptospora,
ASV795,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Microdochium,s__phragmitis,
ASV796,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,s__ellisii,
ASV797,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,NA,
ASV798,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Trichosporon,NA,
ASV799,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,NA,NA,
ASV8,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleomassariaceae,NA,NA,
ASV80,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Helicodendron,s__microsporum,
ASV800,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Myriangiales,f__Myriangiales_fam_Incertae_sedis,NA,NA,
ASV802,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,s__carpophilum,
ASV805,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__gamsii,
