stream;treatment;time.point;squares_total;squares_examined;filtered_volume;Alatospora acuminata;Alatospora fustiformis;Alatospora pulchella;Anguillospora crassa;Anguillospora filiformis;Anguillospora furtiva;Anguillospora longissima;Anguillospora rosea;Anguillospora spec.;Articulospora tetracladia;Campylospora chaetocladia;Clavariopsis aquatica;Clavatospora longibrachiata;Culicidospora aquatica;Culicidospora gravida;Culicidospora spec.;Cylindrocarpon aquaticum;Flagellospora curta;Flagellospora curvula;Flagellospora fusarioides;Fontanospora eccentrica;Fusarium spec.;Heliscus lugdunensis;Heliscus tentaculus;Lemoniera aquatica;Lemoniera centrosphaera;Lemoniera pseudofloscula;Lemoniera sp.;Lemoniera terrestris;Lunulospora curvula;Lunulospora penicilloides;Mycocentrospora acerina;Mycocentrospora angulata;Mycocentrospora sp. Ined.;Porocladium aquaticum;Pseudoanguillospora prolifera;Pseudoanguillospora stricta;Sigmoidea aurantiaca;Stenocladia neglecta;Tetrachaetum elegans;Tetracladium furcatum;Tetracladium marchalianum;Tetracladium maxiforme;Tetracladium sp.;Tricladium angulatum;Tricladium attenuatum;Tricladium chaetocladium;Tricladium curvisporum;Tricladium sp.;Tricladium splendens;Tumularia aquatica;Unknown_A;Unknown_B;Unknown_C;Unknown_D;Unknown_E;Unknown_F
Kropsbach;vine;August;107;10;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Isenach;forest;August;107;10;3;0;0;0;0;0;0;1;0;0;0;0;11;4;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;26;0;0;0;0;0;0;192;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Russbach;move;August;107;10;3;1;0;0;0;0;0;1;0;0;0;0;51;7;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;17;0;0;0;1;1;0;0;0;0;0
Otterbach;forest;August;107;6;3;6;0;0;0;0;0;0;0;0;1;0;16;47;0;0;0;0;0;64;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;0;8;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Hainbach;vine;August;107;10;4;0;0;0;0;0;0;0;0;0;0;0;0;29;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Dierbach;move;August;107;10;3;3;0;0;0;0;0;0;0;0;0;0;4;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0
Otterbach;move;August;107;10;3;4;0;0;1;0;0;0;0;0;0;0;22;13;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Modenbach;forest;August;107;10;3;0;0;0;0;0;0;0;0;0;0;0;6;11;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;54;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Russbach;vine;August;107;10;4;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Modenbach;vine;August;107;10;4;0;0;0;0;0;0;0;0;0;0;0;11;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Klingbach;forest;August;107;10;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Isenach;move;August;107;10;3;0;0;0;0;0;0;0;0;0;1;0;7;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;138;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Isenach;vine;August;107;10;4;0;0;0;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kaiserbach;vine;August;107;10;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dierbach;forest;August;107;10;3;0;0;0;0;0;0;0;0;0;0;0;12;22;0;0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;9;0;0;0;0;0;2;0;0;0;0
Dierbach;vine;August;107;10;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Russbach;forest;August;107;10;3;1;0;0;0;0;1;0;0;0;1;0;8;23;0;0;0;0;0;58;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Klingbach;move;August;107;10;3;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Triefenbach;move;August;107;8;4;1;0;0;0;0;1;0;0;0;0;0;0;28;27;0;0;0;0;1;14;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;207;0;0;0;0;1;0;28;0;0;0;0;0;0;0;0;0;0
Klingbach;vine;August;107;10;3;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kropsbach;move;August;107;10;3;0;0;0;0;0;6;3;0;0;0;0;10;6;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Hainbach;forest;August;107;10;3;5;0;0;3;0;0;1;0;0;0;0;1;3;0;0;0;1;0;7;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Kaiserbach;forest;August;107;10;3;0;0;0;0;0;3;0;0;0;0;0;17;1;0;0;0;1;0;10;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kaiserbach;move;August;107;10;3;2;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Otterbach;vine;August;107;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dierbach;forest;June;107;10;2.5;1;0;0;0;0;0;0;0;0;4;0;1;26;0;0;0;0;0;4;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Dierbach;vine;June;107;10;2.5;1;0;0;0;0;0;2;0;0;0;0;6;10;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Dierbach;move;June;107;10;2.5;7;0;0;0;0;0;0;1;0;17;0;5;40;0;0;2;0;0;14;0;0;0;0;0;7;0;0;2;0;0;13;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;8;0;0;6;0;0;0;0;0;0;0
Hainbach;vine;June;107;10;2.5;1;0;0;0;0;0;1;0;0;0;0;11;5;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hainbach;move;June;107;10;2.5;4;0;0;0;0;0;1;0;0;4;0;16;18;0;0;0;0;0;37;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hainbach;forest;June;107;10;2.5;6;0;0;0;0;0;0;0;0;2;0;0;23;2;0;0;0;0;9;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Isenach;vine;June;107;10;2.5;0;0;0;0;0;0;1;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Isenach;forest;June;107;10;2.5;3;0;0;0;0;0;1;0;0;0;1;10;11;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Isenach;move;June;107;10;2.5;4;0;0;0;0;0;0;1;0;5;0;12;21;0;0;0;0;0;6;0;1;0;0;0;18;0;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Kaiserbach;vine;June;107;10;2.5;0;0;0;0;3;0;0;7;0;0;0;35;6;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Kaiserbach;forest;June;107;10;2.5;1;0;0;0;0;0;0;4;0;0;0;9;8;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kaiserbach;move;June;107;10;2.5;8;0;0;0;0;0;16;0;0;0;0;35;23;1;0;0;0;0;45;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
Klingbach;forest;June;107;10;2.5;0;0;0;0;0;0;2;0;0;0;0;14;4;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Klingbach;vine;June;107;10;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Klingbach;move;June;107;10;2.5;10;0;0;0;1;0;1;0;0;0;0;8;35;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
Kropsbach;forest;June;107;10;2.5;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kropsbach;vine;June;107;10;2.5;0;0;0;0;0;0;10;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Kropsbach;move;June;107;10;2.5;1;0;0;0;0;0;1;1;1;0;0;2;9;0;0;0;0;0;9;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Modenbach;forest;June;107;10;2.5;1;1;0;0;0;0;0;0;0;2;0;8;6;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Modenbach;move;June;107;10;2.5;1;0;0;0;0;0;2;5;0;1;0;7;11;0;0;0;0;0;30;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Modenbach;vine;June;107;10;2.5;2;0;0;0;0;0;0;0;0;0;0;0;24;70;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otterbach;vine;June;107;10;2.5;0;0;0;0;0;0;0;0;0;0;0;11;21;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Otterbach;move;June;107;10;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otterbach;forest;June;107;10;2.5;5;0;0;0;0;0;1;0;0;3;0;10;54;0;0;0;0;0;75;0;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Russbach;vine;June;107;10;2.5;0;0;0;0;5;0;2;6;1;0;0;5;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Russbach;forest;June;107;10;2.5;1;0;0;0;0;0;1;1;0;2;0;24;24;0;0;0;0;0;13;0;0;0;1;1;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0
Russbach;move;June;107;10;2.5;11;0;0;0;0;0;1;2;0;8;0;22;39;1;0;0;0;3;7;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;90;0;0;2;0;0;0;0;0;0;0
Triefenbach;move;June;107;10;2.5;0;0;0;0;0;0;0;0;0;1;0;20;9;0;0;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
