"Leaf.bag.number","time.point","weight_start","stream","treatment","replicate","number.days","dry_weight_rest","ashes_rest","dry_weight_OMD","ashes_OMD","dry_weight_conidia","ashes_conidia","dry_weight_ergosterol","disks_OMD","disks_conidia","disks_total"
157,"April",6.966,"Triefenbach","transplant",1,23,6605.8,1703.54,37.18,9.46,NA,NA,NA,7,5,33
158,"April",6.994,"Kropsbach","vine",3,23,3828.7,447.56,15.23,1.74,12.43,0.88,NA,7,5,33
160,"April",7.018,"Isenach","forest",2,23,4727,482.42,24.49,3.72,13.88,1.42,NA,7,5,33
161,"April",6.995,"Kaiserbach","forest",3,23,5016.58,791.42,26.45,2.44,17.95,2.39,NA,7,5,33
162,"April",7.001,"Kaiserbach","vine",1,23,5110.39,795.06,27.41,4.92,18.03,2.23,NA,7,5,33
163,"April",7.03,"Russbach","vine",6,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
164,"April",7.024,"Kropsbach","transplant",7,23,5156,1300,33.31,7.25,18.29,1.45,NA,7,5,33
165,"April",7.021,"Otterbach","forest",7,23,4973,718.61,22.34,2.24,14.79,1.01,NA,7,5,33
166,"April",7.026,"Triefenbach","forest",7,23,5267.01,787.33,19.49,1.47,13.88,0.76,NA,7,5,33
167,"April",6.943,"Klingbach","transplant",1,23,4850.52,741.85,25.73,2.62,18.22,1.46,NA,7,5,33
168,"April",7.033,"Kaiserbach","vine",5,23,5801.39,1309.47,23.63,3.43,13.88,3.11,NA,7,5,33
169,"April",7.016,"Dierbach","forest",6,23,NA,NA,27.22,3.14,16.96,1.69,NA,7,5,33
171,"April",7.045,"Isenach","vine",6,23,4750.78,619.16,19.75,2.08,11.36,0.84,NA,7,5,33
175,"April",6.966,"Kaiserbach","transplant",7,23,5987.29,1729.8,27.5,7.13,15.72,2.93,NA,7,5,33
176,"April",6.955,"Modenbach","vine",5,23,5892.41,1915.36,36.48,11.63,21.87,4.06,NA,7,5,33
178,"April",6.961,"Kaiserbach","forest",1,23,4898,673.53,23.99,2.82,15.35,1.34,NA,7,5,33
179,"April",7.027,"Russbach","vine",1,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
180,"April",7.005,"Klingbach","forest",1,23,4822.4,766.52,20.77,3.18,14.19,1.42,NA,7,5,33
182,"April",6.996,"Triefenbach","transplant",6,23,6146.05,1808.46,30.11,8.89,15.5,2.8,NA,7,5,33
183,"April",7.003,"Otterbach","forest",3,23,3904.21,1107.57,27.99,2.41,18.11,1.36,NA,7,5,33
184,"April",6.995,"Triefenbach","forest",2,23,6140,1879.41,23.08,3.32,21.17,6.12,NA,7,5,33
185,"April",6.966,"Hainbach","vine",2,23,7314.66,2299.76,32.62,6.04,20.08,3.93,NA,7,5,33
186,"April",7.015,"Klingbach","vine",4,23,4901,655.02,23.78,2.61,14.4,1.31,NA,7,5,33
187,"April",7.032,"Kaiserbach","transplant",5,23,7794.85,1841.25,24.55,6.06,14.79,2.67,NA,7,5,30
188,"April",7.01,"Klingbach","forest",2,23,4698,713.12,24.34,3.83,17.08,2.41,NA,7,5,33
190,"April",6.947,"Klingbach","transplant",5,23,4630.74,645.2,22.38,2.08,14.56,1.09,NA,7,5,33
192,"April",6.975,"Dierbach","vine",7,23,4944.78,781.25,30.82,3.9,17.39,1.59,NA,7,5,33
193,"April",6.961,"Dierbach","transplant",1,23,7007.2,2652.2,35.07,11.56,16.99,2.99,NA,7,5,33
195,"April",6.968,"Otterbach","transplant",4,23,5030.01,718.74,22.89,1.86,15.26,1.41,NA,7,5,33
